assuntos;tipos
autoriza a compensação de dívidas de qualquer natureza perante o município de natal com créditos líquidos certos , vencidos ou vincendos , ainda de que natureza tributária , de titularidade de servidores públicos municipais e dá outras providências ;PROJETO DE LEI
dispõe sobre a obrigatoriedade de notificar aos órgãos de proteção da criança e do adolescente os casos de uso de álcool e outras drogas;EMENDA ENCARTADA PROJETO DE LEI
dispõe sobre a política municipal de incentivo e fomento às feiras de alimentos orgânicos no âmbito do município de natal , e dá outras providências;PROJETO DE LEI
reconhece como utilidade pública municipal a `` associação cultural padre piná acpp '' , e dá outras providências;PROJETO DE LEI
dispõe sobre a reversão ao patrimônio público do município de natal de área 10.145.00 m² , a qual foi doada para fins de edificação , respectivamente , da sede do egrégio tribunal de justiça do estado do rio grande do norte , e dá outras providências;PROJETO DE LEI
altera a lei nº 6.709/2017 , que `` institui o setembro verde '' , e dá outras providências;PROJETO DE LEI
ficam os veículos de transporte turístico autorizados a circular nos corredores exclusivos de ônibus , neste município , e dá outras providências;PROJETO DE LEI
destina 5 % cinco por cento das vagas de concursos públicos do município de natal para os desempregados , e dá outras providências;PROJETO DE LEI
determina a sustação da portaria nº100/2015 , da secretaria municipal de educação , de 08 de maio de 2015 , e dá outras providências;PROJETO DE DECRETO LEGISLATIVO
requer que seja enviado oficio a urbana , solicitando a limpeza do canteiro central da rua araxá conjunto pirangi i etapa neópolis;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a limpeza da praça tarcísio maia , situada na avenida das alagoas conjunto pirangi i neópolis;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a realização de uma minidrenagem na avenida são miguel dos caribes , em frente casa 4328 conjunto pirangi ii etapa neópolis;REQUERIMENTO
requer nos termos regimentais da câmara municipal de natal , que seja enviado ofício ao ilustríssimo secretário municipal da urbana , josivan cardoso moreno , solicitando mudança do horário e percurso das caçambas de lixo que fazem a retirada do lixão de cidade nova para o aterro sanitário em ceara mirim;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a manutenção e limpeza da lagoa da avcapitão mor gouveia nas adjacências da rua magnesita e da rua do sal primeira etapa do conjpotilandia;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a urbanização , cercamento , manutenção e limpeza da lagoa do panatis localizada na avenida paulistana / avenida acaraú / rua pacajus potengi;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a varrição , capinação , limpeza e pintura de meio fio da praça lourdes guilherme localizada rua do cristal de rocha / rua do topázio / rua carvão de pedra potilândia ;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando operação tapa buraco na rua dos pegas , bairro quintas natal rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando , limpeza de canteiro da ponte newton navarro , localizado no bairro santos reis , natalrn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando podação de árvores , localizado na rua porto alegre , bairro cidade da esperança , cep 59071390 natal rn;REQUERIMENTO
requer que seja enviado ofício à urbana , solicitando limpeza de mato e lixo no canteiro da avantônio basílio , entre a avcoronel estevam e a rua sampaio correia , dixsept rosado , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semsur , solicitando a troca da lâmpada para uma lâmpada metálica do poste de frente a residência nº 3200 , na rua marechal rondon , 3200 candelária , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando a operação tapa buracos na rua dos pajeús , dixsept rosado , natal/rn;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua doutor joão machado , bairro do alecrim;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua manoel caetano , bairro da redinha;REQUERIMENTO
requer que seja enviado ofício à semov , solicitando o capeamento asfáltico da rua vitória da conquista , no conjunto soledade , bairro potengi;REQUERIMENTO
