,assunto,n requerimento,partido,vereador
0,"- requer que seja enviado ofício à semsur, solicitando a troca de lâmpada queimada no poste nº g7 330, situado na rua alterosa - conjunto pirangi i etapa - neópolis ",01119/2019,psdc,ver.a ana paula 
1,"- requer que seja enviado ofício à sms, solicitando a reforma do anexo da unidade básica de saúde do conjunto jiqui. ",01231/2019,psdc,ver.a ana paula 
2,"- requer que seja enviado oficio à semsur, solicitando a realização da limpeza da praça marechal deodoro, situada na avenida das alagoas - conjunto jiqui. ",01232/2019,psdc,ver.a ana paula 
3,"- requer nos termos regimentais da câmara municipal de natal, requer que seja enviado ofício ao secretário jonny araújo da costa, secretario semsur, solicitando implantação de uma área coberta de conivência para jogos, como domino, xadrez, aliado e outros, ao lado da quadra de esporte da rua aristófanes fernandes no bairro do bom pastor. ",01167/2019,psdb,ver. aroldo alves 
4,"- requer nos termos regimentais da câmara municipal de natal, requer que seja enviado ofício ao secretário jonny araújo da costa, secretario semsur, solicitando a implantação de uma academia da 3ª idade, na rua santa helena, em frente ao campo de futebol na comunidade novo horizonte no bairro das quintas. ",01168/2019,psdb,ver. aroldo alves 
5,"- requer nos termos regimentais da câmara municipal de natal, que seja enviado ofício ao secretário, tomaz pereira de araújo neto, titular da semov, solicitando desobstrução e reconstrução de galeria na rua freitas com a rua nossa senhora da glória no bairro bom pastor. ",01169/2019,psdb,ver. aroldo alves 
6,"- requer que seja enviado ofício à semsur, solicitando podação de árvores, localizado na rua minas nova, bairro neópolis, cep: 59088-725 natal  rn. ",01190/2019,pros,ver.ª carla dickson 
7,"                                                                                                                                                                                                                                                 assunto:     - requer que seja enviado ofício à semsur, solicitando podação de árvores, localizado na rua minas nova, bairro neópolis, cep: 59088-725 natal  rn. ",01190/2019,pros,ver.ª carla dickson 
8,"                                                                                                                                                                                                                                                 assunto:     - requer que seja enviado ofício à semsur, solicitando substituição de lâmpadas amarelas por lâmpadas de led, localizado na rua porto alegre, bairro cidade da esperança, cep: 59071-390 natal  rn. ",01191/2019,pros,ver.ª carla dickson 
9,"- requer que seja enviado ofício à semov, solicitando terraplanagem, na rua são cristóvão no bairro quintas, cep: 59056-290 natal - rn. ",01193/2019,pros,ver.ª carla dickson 
10,"- requer na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur  jonny costa, solicitando dos mesmos a troca dos refletores do campo de futebol do monte libano, bom pastor, natal, haja visto que que o mesmo encontra-se com alguns refletores apagados, atendendo aos esportistas daquela comunidade. ",01228/2019,pdt,ver. chagas catarino 
11,"- requer na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semsur  tomaz pereira de araújo neto, solicitando dos mesmos uma operação tapa buracos na rua pres. castelo branco, monte libano, bom pastor, natal, atendendo ao pleito dos moradores daquela rua, haja vista que a rua encontra-se intransitável. ",01229/2019,pdt,ver. chagas catarino 
12,"que seja enviado ofício à semsur, solicitando a troca da lâmpada no poste nº g1532, localizado na rua min. raimundo de brito, lagoa nova, natal/rn. ",01176/2019,dem,ver. dagô do forró 
13,"requer que seja enviado ofício à semov, solicitando a pavimentação da av. nila jales, lagoa azul, natal/rn. ",01177/2019,dem,ver. dagô do forró 
14,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da rua cláudio machado, bairro de petrópolis. ",01093/2019,psdb,ver. dickson nasser júnior 
15,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da rua miramar, entre a rua cap. mor gouveia e edvar reis, bairro da praia do meio. ",01094/2019,psdb,ver. dickson nasser júnior 
16,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da travessa bom jesus, bairro da ribeira. ",01095/2019,psdb,ver. dickson nasser júnior 
17,"que seja enviado ofício à urbana, solicitando o serviço de limpeza e capinação da rua radialista luiz cordeiro, bairro pajuçara, em natal, capital do estado do rio grande do norte. ",01105/2019,pmb,ver. dinarte torres 
18,"que seja enviado ofício à semurb, solicitando o serviço de identificação e sinalização de logradouros, no loteamento riomar, bairro pajuçara, natal, capital do estado do rio grande do norte. ",01150/2019,pmb,ver. dinarte torres 
19,"que seja enviado ofício à semov, solicitando o serviço de drenagem e pavimentação da rua jardim brasil, loteamento jardim brasil, bairro pajuçara, natal, capital do estado do rio grande do norte. ",01151/2019,pmb,ver. dinarte torres 
20,"à urbana, limpeza das bocas de lobo das avenidas a seguir: av. açude de santa rita de cássia e av. barragem armando ribeiro, no conjunto brasil novo. bem como, av. comunidade e ação, no loteamento jardim brasil e av. mar mediterrâneo, parque das dunas, pajuçara. ",01182/2019,pt,vera. divaneide lula basílio 
21,"à semsur, em caráter de urgência, a implantação de braço do poste xo4 655 em frente a casa nº 04 na rua vale do sol, loteamento itamarati - bairro pajuçara/potengi, zona norte de natal. ",01234/2019,pt,vera. divaneide lula basílio 
22,que sejam enviados votos de congratulações à associação das voluntárias assistenciais do instituto juvino barreto (avajub) pelos seus 25 anos de voluntariado. ,01201/2019,psl,vera. eleika bezerra 
23,"que seja enviado ofício à semov, solicitando a realização de serviço de drenagem e pavimentação na rua serra do vento, localizada no conjunto parque dos coqueiros, no bairro de nossa senhora da apresentação. ",01202/2019,psl,vera. eleika bezerra 
24,"que seja enviado ofício à semov, solicitando a realização de serviço de drenagem e pavimentação na rua das tulipas negras, localizada no conjunto parque dos coqueiros, no bairro de nossa senhora da apresentação. ",01203/2019,psl,vera. eleika bezerra 
25,"solicitando a reposição de lâmpadas queimadas dos seguintes postes: a6 725, l9 714 rua décio fonseca, poste a6 725 rua vereador cauby barroca, poste a6 740, rua mestre lucarino, bairro rocas, natal/rn. ",01195/2019,requer,ver. felipe alves  mdb assunto:      
26,"do natal, que seja enviado ofício ao sr. secretário, jonny costa, titular da secretaria municipal de serviços urbanos  semsur, solicitando a podação de uma grande árvore que se encontra na praça da rua miramar, rocas, natal/rn. ",01196/2019,requer,ver. felipe alves  mdb assunto:      
27," - requer que seja enviado ofício à sttu, solicitando uma faixa de pedestre na av. das fronteiras com a avenida tomaz landim, próximo ao supermercado nordestão, na lateral da loja insinuante, bairro de igapó, zona norte de natal/rn ",01070/2019,pt,ver. fernando lula lucena 
28," - requer que seja enviado ofício à sttu, solicitando uma faixa de pedestre na av. das fronteiras, em frente a maternidade da mulher, no conjunto santa catarina, zona norte de natal/rn. ",01071/2019,pt,ver. fernando lula lucena 
29," - requer que seja enviado ofício à urbana, solicitando a limpeza geral (capinação), da lateral do posto de saúde do conjunto vista verde, que se encontra com bastante mato, bairro pajuçara, zona norte de natal/rn ",01179/2019,pt,ver. fernando lula lucena 
30,"solicitando operação tapa buraco na rua interventor mário câmara com a av. lima e silva, no bairro nossa senhora de nazaré. ",01135/2019,requer,ver. franklin capistrano- psb assunto:      
31,"solicitando informações se há algum projeto de urbanização do antigo horto da cidade da esperança, localizado na av. piauí com rua garanhuns , bairro cidade da esperança, natal/rn. ",01221/2019,requer,ver. fúlvio saulo  sd assunto:      
32,"solicitando o nivelamento da rua elias de souza, conjunto boa vista, bairro planalto, ao lado do cmei clara camarão, natal/rn. ",01122/2019,requer,ver. fúlvio saulo  sd assunto:      
33,"solicitando a substituição das lâmpadas dos postes a7957 e a7958 que estão queimadas, por lâmpadas mais potentes na av. nascimento de castro, bairro lagoa nova, natal/rn. ",01124/2019,requer,ver. fúlvio saulo  sd assunto:      
34,"- requer que seja enviado ofício à semov, solicitando a limpeza e manutenção da boca de lobo, entre as ruas ulisses guimarães e r. josé acácio de macedo (ao lado de acácio bebidas). bairro: redinha. cep.: 59122-145. ",01217/2019,sd,ver. klaus araújo 
